report_id,date,house,source_pdf,origin_schema,legacy_row,region,application,metric,fy,value,value_prev,unit,basis,source_page,review_reasons,decision_status,actual_metric,period_scope,decision_reason
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,demand_forecasts,21,북미,EV,실적치,2021,40,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,실적치는 원문 지표 재확인 필요,,,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,demand_forecasts,22,북미,EV,실적치,2022,65,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,실적치는 원문 지표 재확인 필요,,,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,demand_forecasts,31,기타,EV,실적치,2021,20,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,실적치는 원문 지표 재확인 필요,,,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,demand_forecasts,32,기타,EV,실적치,2022,37,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,실적치는 원문 지표 재확인 필요,,,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,demand_forecasts,41,글로벌,EV,실적치,2021,301,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,실적치는 원문 지표 재확인 필요,,,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,demand_forecasts,42,글로벌,EV,실적치,2022,518,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,실적치는 원문 지표 재확인 필요,,,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,demand_forecasts,51,중국,EV,실적치,2021,3327,,천대,"글로벌 EV 판매량 추정(PHEV+BEV 기준, 지역별, 표43)",47,실적치는 원문 지표 재확인 필요,,,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,demand_forecasts,52,중국,EV,실적치,2022,6519,,천대,"글로벌 EV 판매량 추정(PHEV+BEV 기준, 지역별, 표43)",47,실적치는 원문 지표 재확인 필요,,,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,demand_forecasts,61,유럽,EV,실적치,2021,2372,,천대,"글로벌 EV 판매량 추정(PHEV+BEV 기준, 지역별, 표43)",47,실적치는 원문 지표 재확인 필요,,,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,demand_forecasts,62,유럽,EV,실적치,2022,2641,,천대,"글로벌 EV 판매량 추정(PHEV+BEV 기준, 지역별, 표43)",47,실적치는 원문 지표 재확인 필요,,,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,demand_forecasts,71,북미,EV,실적치,2021,669,,천대,"글로벌 EV 판매량 추정(PHEV+BEV 기준, 지역별, 표43)",47,실적치는 원문 지표 재확인 필요,,,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,demand_forecasts,72,북미,EV,실적치,2022,985,,천대,"글로벌 EV 판매량 추정(PHEV+BEV 기준, 지역별, 표43)",47,실적치는 원문 지표 재확인 필요,,,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,demand_forecasts,81,기타,EV,실적치,2021,337,,천대,"글로벌 EV 판매량 추정(PHEV+BEV 기준, 지역별, 표43)",47,실적치는 원문 지표 재확인 필요,,,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,demand_forecasts,82,기타,EV,실적치,2022,654,,천대,"글로벌 EV 판매량 추정(PHEV+BEV 기준, 지역별, 표43)",47,실적치는 원문 지표 재확인 필요,,,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,demand_forecasts,91,글로벌,EV,실적치,2021,6705,,천대,"글로벌 EV 판매량 추정(PHEV+BEV 기준, 지역별, 표43)",47,실적치는 원문 지표 재확인 필요,,,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,demand_forecasts,92,글로벌,EV,실적치,2022,10799,,천대,"글로벌 EV 판매량 추정(PHEV+BEV 기준, 지역별, 표43)",47,실적치는 원문 지표 재확인 필요,,,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,demand_forecasts,101,북미,EV,실적치,2022,72,,GWh,"북미 EV 배터리 시장 수요(표13, 35~40년경 BEV침투율100% 가정 하 별도 추정, 표44 수치와 상이하나 원문 그대로 수집)",23,실적치는 원문 지표 재확인 필요,,,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,demand_forecasts,110,글로벌,EV,실적치,2021,30,,%,케미스트리별 배터리 시장 비중 전망(표38) - LFP,21,실적치는 원문 지표 재확인 필요,,,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,inbox/대신증권_전자장비와기기_K배터리 목표시총 400조_20230706.pdf,demand_forecasts,116,글로벌,EV,실적치,2021,43,,%,케미스트리별 배터리 시장 비중 전망(표38) - 하이니켈(NCM/NCA),21,실적치는 원문 지표 재확인 필요,,,,
2023-09-12_IBK투자증권_산업,2023-09-12,IBK투자증권,inbox/IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,demand_forecasts,1,글로벌,합계,실적치,2020,7775,,만대,글로벌 완성차 판매량(코로나19 영향),9,EV·ESS 외 application: 합계 | 실적치는 원문 지표 재확인 필요,,,,
2023-09-12_IBK투자증권_산업,2023-09-12,IBK투자증권,inbox/IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,demand_forecasts,2,글로벌,합계,실적치,2021,8143,,만대,글로벌 완성차 판매량,9,EV·ESS 외 application: 합계 | 실적치는 원문 지표 재확인 필요,,,,
2023-09-12_IBK투자증권_산업,2023-09-12,IBK투자증권,inbox/IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,demand_forecasts,3,글로벌,합계,실적치,2022,8098,,만대,글로벌 완성차 판매량,9,EV·ESS 외 application: 합계 | 실적치는 원문 지표 재확인 필요,,,,
2023-09-12_IBK투자증권_산업,2023-09-12,IBK투자증권,inbox/IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,demand_forecasts,4,글로벌,합계,판매대수,2023,8600,,만대,"코로나19 이전 9,000만대 수준은 2025년 이후 도달 전망",9,EV·ESS 외 application: 합계 | 판매대수는 EV만 자동 이관: 합계,,,,
2023-09-12_IBK투자증권_산업,2023-09-12,IBK투자증권,inbox/IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,demand_forecasts,6,글로벌,EV,침투율,2024,20,,%,,11,basis 누락,,,,
2023-09-12_IBK투자증권_산업,2023-09-12,IBK투자증권,inbox/IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,demand_forecasts,7,글로벌,EV,침투율,2025,24,,%,,11,basis 누락,,,,
2023-09-12_IBK투자증권_산업,2023-09-12,IBK투자증권,inbox/IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,demand_forecasts,10,북미,EV,침투율,2023,10,,%,,11,basis 누락,,,,
2023-09-12_IBK투자증권_산업,2023-09-12,IBK투자증권,inbox/IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,demand_forecasts,11,북미,EV,침투율,2024,14,,%,,11,basis 누락,,,,
2023-09-12_IBK투자증권_산업,2023-09-12,IBK투자증권,inbox/IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,demand_forecasts,12,북미,EV,침투율,2025,19,,%,,11,basis 누락,,,,
2023-09-12_IBK투자증권_산업,2023-09-12,IBK투자증권,inbox/IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,demand_forecasts,13,유럽,EV,침투율,2023,25,,%,,11,basis 누락,,,,
2023-09-12_IBK투자증권_산업,2023-09-12,IBK투자증권,inbox/IBK투자증권_전자장비와기기_배터리 World War_20230912.pdf,demand_forecasts,14,유럽,EV,침투율,2024,30,,%,,11,basis 누락,,,,
