report_id,date,house,region,application,metric,fy,value,value_prev,unit,basis,source_page,series_class,series_label,scope_note
2023-07-06_대신증권_산업,2023-07-06,대신증권,중국,EV,실적치,2021,150,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,시장전체,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,중국,EV,실적치,2022,298,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,시장전체,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,중국,EV,수요량,2023,418,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,시장전체,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,중국,EV,수요량,2024,544,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,시장전체,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,중국,EV,수요량,2025,631,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,시장전체,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,중국,EV,수요량,2026,715,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,시장전체,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,중국,EV,수요량,2027,783,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,시장전체,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,중국,EV,수요량,2028,881,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,시장전체,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,중국,EV,수요량,2029,992,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,시장전체,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,중국,EV,수요량,2030,1122,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,시장전체,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,유럽,EV,실적치,2021,90,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,시장전체,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,유럽,EV,실적치,2022,118,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,시장전체,,
2023-07-06_대신증권_산업,2023-07-06,대신증권,유럽,EV,수요량,2023,158,,GWh,"글로벌 EV 배터리 시장 추정(PHEV+BEV 기준, 지역별, 표44)",48,시장전체,,
